customer_id,first_name,last_name,customer_city,cpf,country_name
3018741143504866816,Grant,Mccain,1253365031226127616,10009538300,Brasil
59542965244359240,Debra,Goodson,508490229825579712,62345829674,Brasil
2307496449969204224,Lavonne,Gilbert,3022441711756741120,45018086367,Brasil
3002379910953780736,Gordon,Richard,308440555366929792,86987873767,Brasil
739453564813079168,Geneva,Black,5855043697306583,36854357925,Brasil
1395736665523963904,Jose,Hubbard,1671822576895199744,77255512637,Brasil
767765451072380160,Marina,Gilbert,2223368089601402368,31867027376,Brasil
2801850304894709248,Thomas,Speer,2599178914174096896,87994765643,Brasil
679281894798340736,Barbara,Roll,2223368089601402368,68633158608,Brasil
684288409212246528,Patricia,Morgan,1995413124440644096,890174192,Brasil
1554536228593981184,Shaunte,Delzer,3279617650376413184,87277644344,Brasil
1539093687139370752,Randal,Carr,14715163550490402,67631829726,Brasil
1734088967202525952,Sam,Owens,2223368089601402368,26302931942,Brasil
455643169095166912,Edward,Smith,2599178914174096896,30167254940,Brasil
1299335664990627328,Matthew,Balderas,215858741798202016,2386612403,Brasil
2080192988277388032,Christopher,Jackson,2891497486765701120,92084469956,Brasil
1619472086502361088,Harold,Fowler,2914836610495662080,45665774268,Brasil
1378881716730665984,Marianne,Balado,3285547780380282880,70380839249,Brasil
66581623161921272,Nancy,Roper,2615860394225039360,44258089620,Brasil
1799895976526140160,Christina,Muller,336249655379697984,7925071638,Brasil
1739288581587086080,Ronald,Reding,1580868134171330304,34423789425,Brasil
250921159559668992,Christine,Ohno,1253365031226127616,42174239055,Brasil
722072116035907328,Herman,Schwartz,2419983425762407936,32481244425,Brasil
462920264244424896,Albert,Underwood,3133514207207969280,77449653366,Brasil
3056754731581974016,Joseph,Freeman,5855043697306583,54831171300,Brasil
706216982688546688,Adam,Hix,3074491509913706496,43402327126,Brasil
1453420662152162048,William,Garcia,39769019249884840,97629610895,Brasil
2738399886316196352,Susan,Toppin,1435112300382671616,19987575381,Brasil
