account_id,customer_id,created_at,status,account_branch,account_check_digit,account_number
127700825787235152,3018741143504866816,2019-04-19T01:34:25.000Z,active,8366,3,41002
2074575830148960256,59542965244359240,2019-03-05T23:01:26.000Z,active,662,1,24073
438980267812145600,2307496449969204224,2019-11-15T14:08:48.000Z,active,2374,4,65646
2388678818356235264,3002379910953780736,2019-11-02T00:42:22.000Z,active,8645,6,8070
2646715789379666432,739453564813079168,2019-02-09T15:14:02.000Z,active,660,8,38856
39719195379360320,1395736665523963904,2019-09-25T00:22:15.000Z,active,3285,9,1881
1152700769026362752,767765451072380160,2019-11-17T18:10:50.000Z,active,3805,0,20854
1431539955275996672,2801850304894709248,2019-12-04T09:07:29.000Z,active,5685,2,85745
1065387455151117824,679281894798340736,2019-12-20T23:45:02.000Z,active,8491,5,65417
253931865368420288,684288409212246528,2019-09-29T22:13:47.000Z,active,5281,1,14340
2388965041970796544,1554536228593981184,2019-03-01T01:03:09.000Z,active,8029,1,66406
2211356239915825920,1539093687139370752,2019-11-06T10:12:51.000Z,active,620,6,42390
651304613067071616,1734088967202525952,2019-04-14T15:46:48.000Z,active,751,8,54478
1410463889223333888,455643169095166912,2019-06-12T19:36:15.000Z,active,8246,3,50391
807145068100120192,1299335664990627328,2019-02-24T10:07:29.000Z,active,3092,1,69688
967032139408421376,2080192988277388032,2019-11-08T20:43:25.000Z,active,721,0,93774
2739789647501667328,1619472086502361088,2019-05-10T08:43:20.000Z,active,4328,1,77961
633795525869163392,1378881716730665984,2019-12-13T02:36:46.000Z,active,6565,5,56125
3008734613989791232,66581623161921272,2019-03-31T02:59:20.000Z,active,5184,6,57934
412510466362772032,1799895976526140160,2019-07-10T04:24:16.000Z,active,4330,9,71449
3138902864818696704,1739288581587086080,2019-08-15T20:26:05.000Z,active,7288,9,45713
1124461848582392192,250921159559668992,2019-01-17T03:20:34.000Z,active,8665,2,7491
479529564765572288,722072116035907328,2019-01-20T02:25:36.000Z,active,1826,9,9342
3288792252319690240,462920264244424896,2019-04-12T15:30:47.000Z,active,1221,5,96859
3159540850757342720,3056754731581974016,2019-07-26T08:51:28.000Z,active,8190,1,12495
412339122436295168,706216982688546688,2019-05-19T05:21:05.000Z,active,3722,1,53064
3392112824756089344,1453420662152162048,2019-02-28T19:04:37.000Z,active,1374,9,72517
2812168112653474816,2738399886316196352,2019-10-01T03:53:14.000Z,active,4939,8,63082
918569065983027328,445018984743703104,2019-02-25T01:20:45.000Z,active,7778,5,57782
3302373371882571264,938180973999452032,2019-03-22T06:00:32.000Z,active,1363,9,28079
2965213610032482304,2433888156935990784,2019-02-24T10:44:52.000Z,active,5499,8,11811
257179887103017792,2114331604062594816,2019-02-19T15:14:07.000Z,active,6693,8,82273
3286107959831829504,1094824361408514688,2019-09-26T15:17:15.000Z,active,2796,9,35443
1095295572704434176,3331826451769351680,2019-12-10T05:57:17.000Z,active,9425,7,62385
231771070487223648,909292279053935488,2019-07-04T13:56:15.000Z,active,6411,7,11450
1372963006028127232,1139129464680807424,2019-01-21T17:37:59.000Z,active,6721,1,72224
2173517564649275392,476448784420957056,2019-03-10T21:11:09.000Z,active,9050,3,70638
1493429928567988480,817858258609867392,2019-12-31T21:32:59.000Z,active,4531,4,4592
507987780945996736,336693543816500544,2019-11-09T22:25:51.000Z,active,4729,7,85675
414591092625732800,1669481937421247488,2019-07-29T21:11:23.000Z,active,7719,3,23929
712444109815960448,2272171310327071744,2019-03-05T19:36:38.000Z,active,9350,7,83434
2669626301710158848,1158353061834253312,2019-04-04T18:10:02.000Z,active,886,0,84227
242604038203577184,1389881518493714688,2019-07-29T13:13:35.000Z,active,9959,1,63404
1396423087886678016,500443057508466112,2019-08-11T04:27:49.000Z,active,5487,7,27323
3011375634010832896,1987395201418850560,2019-09-13T07:41:23.000Z,active,9835,1,93642
2922610483805172224,554916756082622784,2019-01-26T00:07:25.000Z,active,7516,6,38048
2352407409595471360,1749186158767626496,2019-03-15T07:18:03.000Z,active,3255,9,17138
831465696157769088,2259747515549796096,2019-08-07T10:03:09.000Z,active,8070,2,73477
2271379420374721024,2198648307643372800,2019-02-02T13:36:46.000Z,active,5097,9,45978
1891843677570516736,914638626882640512,2019-10-31T07:21:11.000Z,active,8436,9,48351
1836359271124509184,1231924903229095424,2019-04-08T16:16:49.000Z,active,9354,0,17485
691946868448769920,1473094613814341888,2019-12-04T09:23:55.000Z,active,611,4,12322
2812754350480354304,2979036472435832832,2019-01-24T07:57:34.000Z,active,7842,7,53042
1891455380300905472,1438892080678912256,2019-09-04T09:11:42.000Z,active,2087,4,52374
994985248422406400,1867908956330915072,2019-07-28T06:08:44.000Z,active,9801,6,85265
2307049183197986816,117208339580042736,2019-07-01T21:30:09.000Z,active,3642,4,28941
1208452672197779968,162141007712055328,2019-12-31T11:46:58.000Z,active,5787,7,49819
2078346903345395712,383505530932298624,2019-05-09T00:43:12.000Z,active,3652,3,54306
1168635816146226176,2828548392035616256,2019-02-19T06:16:26.000Z,active,7063,6,15589
2994877473236706816,2258515175377673984,2019-10-01T07:49:17.000Z,active,817,2,78973
1744120259142988544,2088900066134206208,2019-03-07T13:17:07.000Z,active,8309,3,32009
1620167665972139008,1993500489493498624,2019-09-27T03:22:23.000Z,active,2412,9,95508
2951913227509353984,1952090605828286464,2019-04-24T07:38:34.000Z,active,1770,6,35325
1731793935911318272,3188509094238863872,2019-08-09T01:40:03.000Z,active,5704,2,13649
2680031936548642304,2442944260252447744,2019-11-02T19:31:58.000Z,active,7176,7,48815
2876261618678195712,2617136253202927104,2019-09-25T12:56:00.000Z,active,6904,2,92919
2249498282617143808,3206149570975647232,2019-01-04T00:41:46.000Z,active,6807,5,77141
3385662994386571776,621478279933873024,2019-11-19T09:24:57.000Z,active,3765,9,47215
2542902626707705344,300002033591864576,2019-10-24T04:22:34.000Z,active,6894,6,64862
587213839634695680,2365746893284412416,2019-12-26T20:14:11.000Z,active,3365,5,63856
2987344507963381760,556438881300226112,2019-12-08T19:12:51.000Z,active,299,4,68391
941377813492012288,2937859299277090816,2019-10-17T14:11:16.000Z,active,2716,8,87518
995621806733783296,746670714485197952,2019-10-03T00:08:36.000Z,active,5955,6,43801
1153472375140304896,272457328212446592,2019-06-17T16:49:35.000Z,active,6693,2,97158
212708943708703264,1689893178591757312,2019-04-02T18:46:06.000Z,active,5883,0,38154
1686944665807043840,2407871433494796288,2019-05-18T16:44:32.000Z,active,63,5,49244
1672218690839975424,1587111964613111296,2019-02-05T15:32:06.000Z,active,6324,6,50542
2139497563329604864,3219391602180177920,2019-05-19T16:57:11.000Z,active,943,9,9810
2253873197740771584,1232779995963095808,2019-09-03T09:44:02.000Z,active,1209,5,83626
1743328249855732992,1559010655265039616,2019-06-23T08:17:18.000Z,active,809,9,38952
3095356634466953728,1539251977581497856,2019-12-07T17:04:48.000Z,active,1945,3,70629
2217479417114415360,2107941289036683776,2019-10-26T20:26:03.000Z,active,4596,2,22649
3268938936635121664,3185587660432936960,2019-10-21T20:35:37.000Z,active,3178,0,64116
3250437433583321088,717449780521818496,2019-02-06T06:17:16.000Z,active,9606,3,43382
1576054812906108928,947957117371987200,2019-04-12T22:46:04.000Z,active,8751,5,83520
3179749904068270080,758783050750801536,2019-07-06T14:16:08.000Z,active,7055,7,45597
2197434402905953280,944027922630165888,2019-08-22T18:23:29.000Z,active,6340,2,83939
434787599364796608,1614174897671138048,2019-09-18T01:57:58.000Z,active,7991,6,50028
2417936534473050112,71559515322475288,2019-12-19T21:38:49.000Z,active,9270,2,15982
2680593960694184960,178510223027013792,2019-09-23T02:48:26.000Z,active,9232,5,95727
2560648228807753216,3160183580833799680,2019-10-26T08:52:14.000Z,active,3972,9,54136
1500188662098280960,704459743520242176,2019-10-28T10:35:26.000Z,active,246,7,72988
2120040664426333696,3270788775954575360,2019-02-14T02:13:49.000Z,active,6979,4,38057
3378625499081244672,1981024394697190656,2019-11-04T09:27:27.000Z,active,481,1,93538
1561164223080358656,1284957102723142912,2019-11-05T13:16:09.000Z,active,6838,3,89541
2150099986180452608,1604939320514559232,2019-07-17T14:50:59.000Z,active,2861,1,22952
3234793611125973504,1764361358156557312,2019-05-28T15:03:24.000Z,active,9972,0,51145
2983792313046721536,3060133551646704128,2019-09-07T22:57:37.000Z,active,6372,4,62522
2100495529286620672,2443563825978484736,2019-03-09T00:53:12.000Z,active,1239,9,42387
1269203370773489920,577764034853495296,2019-12-13T15:30:38.000Z,active,4790,4,10441
1728217725037335296,2229707986358996736,2019-10-02T17:16:54.000Z,active,5507,9,89082
717975587160778880,1004233677840026112,2019-08-14T14:40:15.000Z,active,1313,3,77234
1100973411387395968,2839312933579860480,2019-11-30T21:58:53.000Z,active,4745,3,21656
2300937172497233408,73068049564723168,2019-05-07T11:42:15.000Z,active,5140,9,70986
464648525663678528,1149355984595184256,2019-04-10T15:15:02.000Z,active,319,9,84434
2369144338064188928,1186551755164997888,2019-03-20T08:34:58.000Z,active,1734,3,54916
1818450619192449280,1757205328594729984,2019-01-31T01:21:45.000Z,active,993,4,88749
423836350719810944,192118014408376928,2019-03-22T19:43:01.000Z,active,2286,8,80505
1261014087679532032,2125164542478720512,2019-08-26T12:57:52.000Z,active,3578,4,54028
2034349594210171648,1197126320200198912,2019-09-02T11:41:25.000Z,active,2276,5,65915
2762511279080810496,291591192056656832,2019-01-30T04:19:17.000Z,active,7778,4,36094
2782620933627293696,2882885381132600320,2019-09-03T02:21:07.000Z,active,341,2,8807
